stratification	generation script filename	generation script	release filename	genome
GenomeSpecific	union_HG002_CCS_15kb_20kb_merged_ONT_1000_window_size_combined_elliptical_outlier_threshold.bed	GRCh38_Generating_v4.1_excluded_beds.ipynb	GRCh38_HG002_v4.2.1_CNV_CCSandONT_elliptical_outlier.bed.gz	
GenomeSpecific	HG2_SKor_TrioONTCanu_intersect_HG2_SKor_TrioONTFlye_intersect_HG2_SKor_CCS15_gt10kb_GRCh38.bed	GRCh38_Generating_v4.1_excluded_beds.ipynb	GRCh38_HG002_v4.2.1_CNV_gt2assemblycontigs_ONTCanu_ONTFlye_CCSCanu.bed.gz	
GenomeSpecific	GRCh38_mrcanavar_intersect_ccs_1000_window_size_cnv_threshold_intersect_ont_1000_window_size_cnv_threshold.bed	GRCh38_Generating_v4.1_excluded_beds.ipynb	GRCh38_HG002_v4.2.1_CNV_mrcanavarIllumina_CCShighcov_ONThighcov_intersection.bed.gz	
GenomeSpecific	GRCh38_remapped_HG002_SVs_Tier1plusTier2_v0.6.1.bed	GRCh38_Generating_v4.1_excluded_beds.ipynb	GRCh38_HG002_v4.2.1_Tier1plusTier2_v0.6.1.bed.gz	
GenomeSpecific	expanded_150_GRCh38_remapped_HG002_SVs_Tier1plusTier2_v0.6.1.bed	GRCh38_Generating_v4.1_excluded_beds.ipynb	GRCh38_HG002_v4.2.1_Tier1plusTier2_v0.6.1_slop25percent.bed.gz	
GenomeSpecific	SVMergeInversions.GRCh38.120519.clustered_slop150_chr1_22.bed	GRCh38_Generating_v4.1_excluded_beds.ipynb	GRCh38_HG002_v4.2.1_inversions_slop25percent.bed.gz	
GenomeSpecific	GRCh38_HG001_v4.2.1_CNVsandSVs.bed.gz	GS snakemake pipeline	GRCh38_HG001_v4.2.1_CNVsandSVs.bed.gz	
GenomeSpecific	GRCh38_HG001_v4.2.1_comphetindel10bp_slop50.bed.gz	GS snakemake pipeline	GRCh38_HG001_v4.2.1_comphetindel10bp_slop50.bed.gz	
GenomeSpecific	GRCh38_HG001_v4.2.1_comphetsnp10bp_slop50.bed.gz	GS snakemake pipeline	GRCh38_HG001_v4.2.1_comphetsnp10bp_slop50.bed.gz	
GenomeSpecific	GRCh38_HG001_v4.2.1_complexandSVs.bed.gz	GS snakemake pipeline	GRCh38_HG001_v4.2.1_complexandSVs.bed.gz	
GenomeSpecific	GRCh38_HG001_v4.2.1_complexandSVs_alldifficultregions.bed.gz	GS snakemake pipeline	GRCh38_HG001_v4.2.1_complexandSVs_alldifficultregions.bed.gz	
GenomeSpecific	GRCh38_HG001_v4.2.1_complexindel10bp_slop50.bed.gz	GS snakemake pipeline	GRCh38_HG001_v4.2.1_complexindel10bp_slop50.bed.gz	
GenomeSpecific	GRCh38_HG001_v4.2.1_notin_complexandSVs_alldifficult.bed.gz	GS snakemake pipeline	GRCh38_HG001_v4.2.1_notin_complexandSVs_alldifficultregions.bed.gz	
GenomeSpecific	GRCh38_HG001_v4.2.1_othercomplexwithin10bp_slop50.bed.gz	GS snakemake pipeline	GRCh38_HG001_v4.2.1_othercomplexwithin10bp_slop50.bed.gz	
GenomeSpecific	GRCh38_HG001_v4.2.1_snpswithin10bp_slop50.bed.gz	GS snakemake pipeline	GRCh38_HG001_v4.2.1_snpswithin10bp_slop50.bed.gz	
GenomeSpecific	GRCh38_HG002_GIABv4.1_CNVsandSVs.bed.gz	GS snakemake pipeline	GRCh38_HG002_v4.2.1_CNVsandSVs.bed.gz	
GenomeSpecific	GRCh38_HG002_GIABv4.1_comphetindel10bp_slop50.bed.gz	GS snakemake pipeline	GRCh38_HG002_v4.2.1_comphetindel10bp_slop50.bed.gz	
GenomeSpecific	GRCh38_HG002_GIABv4.1_comphetsnp10bp_slop50.bed.gz	GS snakemake pipeline	GRCh38_HG002_v4.2.1_comphetsnp10bp_slop50.bed.gz	
GenomeSpecific	GRCh38_HG002_GIABv4.1_complexandSVs.bed.gz	GS snakemake pipeline	GRCh38_HG002_v4.2.1_complexandSVs.bed.gz	
GenomeSpecific	GRCh38_HG002_GIABv4.1_complexandSVs_alldifficultregions.bed.gz	GS snakemake pipeline	GRCh38_HG002_v4.2.1_complexandSVs_alldifficultregions.bed.gz	
GenomeSpecific	GRCh38_HG002_GIABv4.1_complexindel10bp_slop50.bed.gz	GS snakemake pipeline	GRCh38_HG002_v4.2.1_complexindel10bp_slop50.bed.gz	
GenomeSpecific	GRCh38_HG002_GIABv4.1_notin_complexandSVs_alldifficult.bed.gz	GS snakemake pipeline	GRCh38_HG002_v4.2.1_notin_complexandSVs_alldifficultregions.bed.gz	
GenomeSpecific	GRCh38_HG002_GIABv4.1_othercomplexwithin10bp_slop50.bed.gz	GS snakemake pipeline	GRCh38_HG002_v4.2.1_othercomplexwithin10bp_slop50.bed.gz	
GenomeSpecific	GRCh38_HG002_GIABv4.1_snpswithin10bp_slop50.bed.gz	GS snakemake pipeline	GRCh38_HG002_v4.2.1_snpswithin10bp_slop50.bed.gz	
GenomeSpecific	GRCh38_HG003_v4.2.1_CNVsandSVs.bed.gz	GS snakemake pipeline	GRCh38_HG003_v4.2.1_CNVsandSVs.bed.gz	
GenomeSpecific	GRCh38_HG003_v4.2.1_comphetindel10bp_slop50.bed.gz	GS snakemake pipeline	GRCh38_HG003_v4.2.1_comphetindel10bp_slop50.bed.gz	
GenomeSpecific	GRCh38_HG003_v4.2.1_comphetsnp10bp_slop50.bed.gz	GS snakemake pipeline	GRCh38_HG003_v4.2.1_comphetsnp10bp_slop50.bed.gz	
GenomeSpecific	GRCh38_HG003_v4.2.1_complexandSVs.bed.gz	GS snakemake pipeline	GRCh38_HG003_v4.2.1_complexandSVs.bed.gz	
GenomeSpecific	GRCh38_HG003_v4.2.1_complexandSVs_alldifficultregions.bed.gz	GS snakemake pipeline	GRCh38_HG003_v4.2.1_complexandSVs_alldifficultregions.bed.gz	
GenomeSpecific	GRCh38_HG003_v4.2.1_complexindel10bp_slop50.bed.gz	GS snakemake pipeline	GRCh38_HG003_v4.2.1_complexindel10bp_slop50.bed.gz	
GenomeSpecific	GRCh38_HG003_v4.2.1_notin_complexandSVs_alldifficult.bed.gz	GS snakemake pipeline	GRCh38_HG003_v4.2.1_notin_complexandSVs_alldifficultregions.bed.gz	
GenomeSpecific	GRCh38_HG003_v4.2.1_othercomplexwithin10bp_slop50.bed.gz	GS snakemake pipeline	GRCh38_HG003_v4.2.1_othercomplexwithin10bp_slop50.bed.gz	
GenomeSpecific	GRCh38_HG003_v4.2.1_snpswithin10bp_slop50.bed.gz	GS snakemake pipeline	GRCh38_HG003_v4.2.1_snpswithin10bp_slop50.bed.gz	
GenomeSpecific	GRCh38_HG004_v4.2.1_CNVsandSVs.bed.gz	GS snakemake pipeline	GRCh38_HG004_v4.2.1_CNVsandSVs.bed.gz	
GenomeSpecific	GRCh38_HG004_v4.2.1_comphetindel10bp_slop50.bed.gz	GS snakemake pipeline	GRCh38_HG004_v4.2.1_comphetindel10bp_slop50.bed.gz	
GenomeSpecific	GRCh38_HG004_v4.2.1_comphetsnp10bp_slop50.bed.gz	GS snakemake pipeline	GRCh38_HG004_v4.2.1_comphetsnp10bp_slop50.bed.gz	
GenomeSpecific	GRCh38_HG004_v4.2.1_complexandSVs.bed.gz	GS snakemake pipeline	GRCh38_HG004_v4.2.1_complexandSVs.bed.gz	
GenomeSpecific	GRCh38_HG004_v4.2.1_complexandSVs_alldifficultregions.bed.gz	GS snakemake pipeline	GRCh38_HG004_v4.2.1_complexandSVs_alldifficultregions.bed.gz	
GenomeSpecific	GRCh38_HG004_v4.2.1_complexindel10bp_slop50.bed.gz	GS snakemake pipeline	GRCh38_HG004_v4.2.1_complexindel10bp_slop50.bed.gz	
GenomeSpecific	GRCh38_HG004_v4.2.1_notin_complexandSVs_alldifficult.bed.gz	GS snakemake pipeline	GRCh38_HG004_v4.2.1_notin_complexandSVs_alldifficultregions.bed.gz	
GenomeSpecific	GRCh38_HG004_v4.2.1_othercomplexwithin10bp_slop50.bed.gz	GS snakemake pipeline	GRCh38_HG004_v4.2.1_othercomplexwithin10bp_slop50.bed.gz	
GenomeSpecific	GRCh38_HG004_v4.2.1_snpswithin10bp_slop50.bed.gz	GS snakemake pipeline	GRCh38_HG004_v4.2.1_snpswithin10bp_slop50.bed.gz	
GenomeSpecific	GRCh38_HG005_v4.2.1_CNVsandSVs.bed.gz	GS snakemake pipeline	GRCh38_HG005_v4.2.1_CNVsandSVs.bed.gz	
GenomeSpecific	GRCh38_HG005_v4.2.1_comphetindel10bp_slop50.bed.gz	GS snakemake pipeline	GRCh38_HG005_v4.2.1_comphetindel10bp_slop50.bed.gz	
GenomeSpecific	GRCh38_HG005_v4.2.1_comphetsnp10bp_slop50.bed.gz	GS snakemake pipeline	GRCh38_HG005_v4.2.1_comphetsnp10bp_slop50.bed.gz	
GenomeSpecific	GRCh38_HG005_v4.2.1_complexandSVs.bed.gz	GS snakemake pipeline	GRCh38_HG005_v4.2.1_complexandSVs.bed.gz	
GenomeSpecific	GRCh38_HG005_v4.2.1_complexandSVs_alldifficultregions.bed.gz	GS snakemake pipeline	GRCh38_HG005_v4.2.1_complexandSVs_alldifficultregions.bed.gz	
GenomeSpecific	GRCh38_HG005_v4.2.1_complexindel10bp_slop50.bed.gz	GS snakemake pipeline	GRCh38_HG005_v4.2.1_complexindel10bp_slop50.bed.gz	
GenomeSpecific	GRCh38_HG005_v4.2.1_notin_complexandSVs_alldifficult.bed.gz	GS snakemake pipeline	GRCh38_HG005_v4.2.1_notin_complexandSVs_alldifficultregions.bed.gz	
GenomeSpecific	GRCh38_HG005_v4.2.1_othercomplexwithin10bp_slop50.bed.gz	GS snakemake pipeline	GRCh38_HG005_v4.2.1_othercomplexwithin10bp_slop50.bed.gz	
GenomeSpecific	GRCh38_HG005_v4.2.1_snpswithin10bp_slop50.bed.gz	GS snakemake pipeline	GRCh38_HG005_v4.2.1_snpswithin10bp_slop50.bed.gz	
GenomeSpecific	GRCh38_HG006_v4.2.1_CNVsandSVs.bed.gz	GS snakemake pipeline	GRCh38_HG006_v4.2.1_CNVsandSVs.bed.gz	
GenomeSpecific	GRCh38_HG006_v4.2.1_comphetindel10bp_slop50.bed.gz	GS snakemake pipeline	GRCh38_HG006_v4.2.1_comphetindel10bp_slop50.bed.gz	
GenomeSpecific	GRCh38_HG006_v4.2.1_comphetsnp10bp_slop50.bed.gz	GS snakemake pipeline	GRCh38_HG006_v4.2.1_comphetsnp10bp_slop50.bed.gz	
GenomeSpecific	GRCh38_HG006_v4.2.1_complexandSVs.bed.gz	GS snakemake pipeline	GRCh38_HG006_v4.2.1_complexandSVs.bed.gz	
GenomeSpecific	GRCh38_HG006_v4.2.1_complexandSVs_alldifficultregions.bed.gz	GS snakemake pipeline	GRCh38_HG006_v4.2.1_complexandSVs_alldifficultregions.bed.gz	
GenomeSpecific	GRCh38_HG006_v4.2.1_complexindel10bp_slop50.bed.gz	GS snakemake pipeline	GRCh38_HG006_v4.2.1_complexindel10bp_slop50.bed.gz	
GenomeSpecific	GRCh38_HG006_v4.2.1_notin_complexandSVs_alldifficult.bed.gz	GS snakemake pipeline	GRCh38_HG006_v4.2.1_notin_complexandSVs_alldifficultregions.bed.gz	
GenomeSpecific	GRCh38_HG006_v4.2.1_othercomplexwithin10bp_slop50.bed.gz	GS snakemake pipeline	GRCh38_HG006_v4.2.1_othercomplexwithin10bp_slop50.bed.gz	
GenomeSpecific	GRCh38_HG006_v4.2.1_snpswithin10bp_slop50.bed.gz	GS snakemake pipeline	GRCh38_HG006_v4.2.1_snpswithin10bp_slop50.bed.gz	
GenomeSpecific	GRCh38_HG007_v4.2.1_CNVsandSVs.bed.gz	GS snakemake pipeline	GRCh38_HG007_v4.2.1_CNVsandSVs.bed.gz	
GenomeSpecific	GRCh38_HG007_v4.2.1_comphetindel10bp_slop50.bed.gz	GS snakemake pipeline	GRCh38_HG007_v4.2.1_comphetindel10bp_slop50.bed.gz	
GenomeSpecific	GRCh38_HG007_v4.2.1_comphetsnp10bp_slop50.bed.gz	GS snakemake pipeline	GRCh38_HG007_v4.2.1_comphetsnp10bp_slop50.bed.gz	
GenomeSpecific	GRCh38_HG007_v4.2.1_complexandSVs.bed.gz	GS snakemake pipeline	GRCh38_HG007_v4.2.1_complexandSVs.bed.gz	
GenomeSpecific	GRCh38_HG007_v4.2.1_complexandSVs_alldifficultregions.bed.gz	GS snakemake pipeline	GRCh38_HG007_v4.2.1_complexandSVs_alldifficultregions.bed.gz	
GenomeSpecific	GRCh38_HG007_v4.2.1_complexindel10bp_slop50.bed.gz	GS snakemake pipeline	GRCh38_HG007_v4.2.1_complexindel10bp_slop50.bed.gz	
GenomeSpecific	GRCh38_HG007_v4.2.1_notin_complexandSVs_alldifficult.bed.gz	GS snakemake pipeline	GRCh38_HG007_v4.2.1_notin_complexandSVs_alldifficultregions.bed.gz	
GenomeSpecific	GRCh38_HG007_v4.2.1_othercomplexwithin10bp_slop50.bed.gz	GS snakemake pipeline	GRCh38_HG007_v4.2.1_othercomplexwithin10bp_slop50.bed.gz	
GenomeSpecific	GRCh38_HG007_v4.2.1_snpswithin10bp_slop50.bed.gz	GS snakemake pipeline	GRCh38_HG007_v4.2.1_snpswithin10bp_slop50.bed.gz	
GenomeSpecific	GRCh38_HG001_GIABv4.2.1_CNV_CCSandONT_elliptical_outlier.bed	HG001_GRCh38_CNV_exclusion_bed_generation.ipynb	GRCh38_HG001_v4.2.1_CNV_CCSandONT_elliptical_outlier.bed.gz	
GenomeSpecific	GRCh38_HG001_GIABv4.2.1_CNV_mrcanavarIllumina_CCShighcov_ONThighcov_intersection.bed	HG001_GRCh38_CNV_exclusion_bed_generation.ipynb	GRCh38_HG001_v4.2.1_CNV_mrcanavarIllumina_CCShighcov_ONThighcov_intersection.bed.gz	
GenomeSpecific	GRCh38_HG001_union_SVs_repeatexpanded_slop50_merge1000_expanded_150_percent.bed	HG001_GRCh38_CNV_exclusion_bed_generation.ipynb	GRCh38_HG001_v4.2.1_SV_pbsv_hifiasm_dipcall_svanalyzer_slop25percent.bed.gz	
GenomeSpecific	GRCh38_HG001_GIABv4.2.1_inversions_slop25percent.bed	HG001_GRCh38_CNV_exclusion_bed_generation.ipynb	GRCh38_HG001_v4.2.1_inversions_slop25percent.bed.gz	
GenomeSpecific	GRCh38_union_HG003_CCS_15kb_20kb_merged_ONT_1000_window_size_combined_elliptical_outlier_threshold.bed	HG003_GRCh38_CNV_exclusion_bed_generation.ipynb	GRCh38_HG003_v4.2.1_CNV_CCSandONT_elliptical_outlier.bed.gz	
GenomeSpecific	GRCh38_HG003_mrcanavar_intersect_ccs_1000_window_size_cnv_threshold_intersect_ont_1000_window_size_cnv_threshold.bed	HG003_GRCh38_CNV_exclusion_bed_generation.ipynb	GRCh38_HG003_v4.2.1_CNV_mrcanavarIllumina_CCShighcov_ONThighcov_intersection.bed.gz	
GenomeSpecific	pbsv_HG003_SequelII.GRCh38_gt49bp_slop50_repeatexpanded_slop25percent.bed	HG003_GRCh38_CNV_exclusion_bed_generation.ipynb	GRCh38_HG003_v4.2.1_SV_pbsv_slop25percent.bed.gz	
GenomeSpecific	GRCh38_union_HG004_CCS_15kb_20kb_merged_ONT_1000_window_size_combined_elliptical_outlier_threshold.bed	HG004_GRCh38_CNV_exclusion_bed_generation.ipynb	GRCh38_HG004_v4.2.1_CNV_CCSandONT_elliptical_outlier.bed.gz	
GenomeSpecific	GRCh38_HG004_mrcanavar_intersect_ccs_1000_window_size_cnv_threshold_intersect_ont_1000_window_size_cnv_threshold.bed	HG004_GRCh38_CNV_exclusion_bed_generation.ipynb	GRCh38_HG004_v4.2.1_CNV_mrcanavarIllumina_CCShighcov_ONThighcov_intersection.bed.gz	
GenomeSpecific	pbsv_HG004_SequelII.GRCh38.pbsv_gt49bp_slop50_repeatexpanded_slop25percent.bed	HG004_GRCh38_CNV_exclusion_bed_generation.ipynb	GRCh38_HG004_v4.2.1_SV_pbsv_slop25percent.bed.gz	
GenomeSpecific	HG005_GRCh38_union_PacBio_HiFi_ONT_1000_window_size_combined_elliptical_outlier_threshold.bed	HG005_GRCh38_CNV_exclusion_bed_generation.ipynb	GRCh38_HG005_v4.2.1_CNV_CCSandONT_elliptical_outlier.bed.gz	
GenomeSpecific	HG005_GRCh38_mrcanavar_intersect_PacBio_HiFi_1000_window_size_cnv_threshold_intersect_ONT_1000_window_size_cnv_threshold.bed	HG005_GRCh38_CNV_exclusion_bed_generation.ipynb	GRCh38_HG005_v4.2.1_CNV_mrcanavarIllumina_CCShighcov_ONThighcov_intersection.bed.gz	
GenomeSpecific	HG005_GRCh38_union_SVs_repeatexpanded_slop50_merge1000_expanded_150_percent.bed	HG005_GRCh38_CNV_exclusion_bed_generation.ipynb	GRCh38_HG005_v4.2.1_SV_pbsv_hifiasm_dipcall_svanalyzer_slop25percent.bed.gz	
GenomeSpecific	HG005_GRCh38_inversions_slop150_chr1_22.bed	HG005_GRCh38_CNV_exclusion_bed_generation.ipynb	GRCh38_HG005_v4.2.1_inversions_slop25percent.bed.gz	
GenomeSpecific	GRCh38_HG006_GIABv4.2.1_CNV_CCSandONT_elliptical_outlier.bed	HG006_GRCh38_CNV_exclusion_bed_generation.ipynb	GRCh38_HG006_v4.2.1_CNV_CCSandONT_elliptical_outlier.bed.gz	
GenomeSpecific	GRCh38_HG006_GIABv4.2.1_CNV_mrcanavarIllumina_CCShighcov_ONThighcov_intersection.bed	HG006_GRCh38_CNV_exclusion_bed_generation.ipynb	GRCh38_HG006_v4.2.1_CNV_mrcanavarIllumina_CCShighcov_ONThighcov_intersection.bed.gz	
GenomeSpecific	GRCh38_HG006_GIABv4.2.1_SV_pbsv_slop25percent.bed	HG006_GRCh38_CNV_exclusion_bed_generation.ipynb	GRCh38_HG006_v4.2.1_SV_pbsv_slop25percent.bed.gz	
GenomeSpecific	GRCh38_HG007_GIABv4.2.1_CNV_CCSandONT_elliptical_outlier.bed	HG007_GRCh38_CNV_exclusion_bed_generation.ipynb	GRCh38_HG007_v4.2.1_CNV_CCSandONT_elliptical_outlier.bed.gz	
GenomeSpecific	GRCh38_HG007_GIABv4.2.1_CNV_mrcanavarIllumina_CCShighcov_ONThighcov_intersection.bed	HG007_GRCh38_CNV_exclusion_bed_generation.ipynb	GRCh38_HG007_v4.2.1_CNV_mrcanavarIllumina_CCShighcov_ONThighcov_intersection.bed.gz	
GenomeSpecific	GRCh38_HG007_GIABv4.2.1_SV_pbsv_slop25percent.bed	HG007_GRCh38_CNV_exclusion_bed_generation.ipynb	GRCh38_HG007_v4.2.1_SV_pbsv_slop25percent.bed.gz	
GenomeSpecific	HG002_GRCh38_MRG_stratification_ComplexVar_in_TR.bed.gz	GRCh38_HG002_medical_genes_benchmark_generation.ipynb 	GRCh38_HG002_hifiasmv0.11_ComplexVar_in_TRgt100.bed.gz	
mappability	GRCh38_no_alt_gemmap_l100_m2_e1_nonuniq.sort.bed.gz	run_GEM_mappability_GRCh38.sh	GRCh38_nonunique_l100_m2_e1.bed.gz	
mappability	GRCh38_no_alt_gemmap_l250_m0_e0_nonuniq.sort.bed.gz	run_GEM_mappability_GRCh38.sh	GRCh38_nonunique_l250_m0_e0.bed.gz	
mappability	lowmappabilityall.bed.gz	run_GEM_mappability_sort_GRCh38.sh	GRCh38_lowmappabilityall.bed.gz	
mappability	notinlowmappabilityall.bed.gz	run_GEM_mappability_sort_GRCh38.sh	GRCh38_notinlowmappabilityall.bed.gz	
OtherDifficult	GRCh38_KIR.bed.gz	bed file directly generated from region given by JZ	GRCh38_KIR.bed.gz	
OtherDifficult	hg38.rmsk.L1H_gt500.bed.gz	GRCh38_Generating_v4.1_excluded_beds.ipynb	GRCh38_L1H_gt500.bed.gz	
OtherDifficult	hg38.contigs.1-22.lt_500kb.bed.gz	GRCh38_Generating_v4.1_excluded_beds.ipynb	GRCh38_contigs_lt500kb.bed.gz	
OtherDifficult	GCA_000001405.15_GRCh38_no_alt_plus_hs38d1_analysis_set_REF_N_slop_15kb.bed.gz	GRCh38_Generating_v4.1_excluded_beds.ipynb	GRCh38_gaps_slop15kb.bed.gz	
OtherDifficult	GRCh38_allOtherDifficultregions.bed.gz	merge_difficult_regions_GRCh38_2.01.sh	GRCh38_allOtherDifficultregions.bed.gz	
OtherDifficult	MHC_GRCh38.bed.gz	produced directly from coordinates	GRCh38_MHC.bed.gz	
OtherDifficult	GRCh38_false_duplications_correct_copy.bed.gz	received files directly from Alaina Shumate (T2T)	GRCh38_false_duplications_correct_copy.bed.gz	
OtherDifficult	GRCh38_false_duplications_incorrect_copy.bed.gz	received files directly from Alaina Shumate (T2T)	GRCh38_false_duplications_incorrect_copy.bed.gz	
OtherDifficult	GRCh38_collapsed_duplication_FP_regions.bed.gz	received files directly from Daniela Soto/Megan Dennis (T2T)	GRCh38_collapsed_duplication_FP_regions.bed.gz	
OtherDifficult	GRCh38_population_CNV_FP_regions.bed.gz	received files directly from Daniela Soto/Megan Dennis (T2T)	GRCh38_population_CNV_FP_regions.bed.gz	
OtherDifficult	GRCh38_LD_discordant_haplotypes_slop5bp.bed.gz	received files directly from Rajiv McCoy (T2T)	GRCh38_LD_discordant_haplotypes_slop5bp.bed.gz	
OtherDifficult	hg38.vdj.bed.gz	GRCh38_Generating_v4.1_excluded_beds.ipynb	GRCh38_VDJ.bed.gz	
OtherDifficult	GRCh38_gnomAD_InbreedingCoeff_slop1bp_merge1000bp.bed.gz	received description of JZ	GRCh38_gnomAD_InbreedingCoeff_slop1bp_merge1000bp.bed.gz	
SegmentalDuplications	hg38.segdups_chr1-22_gte_10kb_identity_gte_990_segdups_counts_gt_5.bed.gz	GRCh38_Generating_v4.1_excluded_beds.ipynb	GRCh38_gt5segdups_gt10kb_gt99percidentity.bed.gz	
SegmentalDuplications	GRCh38_chainSelf_sorted_merged.bed.gz	GRCh38_new_chainSelf_and_Segdups.ipynb and removed PAR-X in GRCh38-SegmentalDuplications-v3.1_updated_selfchains.ipynb	GRCh38_chainSelf.bed.gz	
SegmentalDuplications	GRCh38_chainSelf_sorted_merged_gt10kb.bed.gz	GRCh38_new_chainSelf_and_Segdups.ipynb and removed PAR-X in GRCh38-SegmentalDuplications-v3.1_updated_selfchains.ipynb	GRCh38_chainSelf_gt10kb.bed.gz	
SegmentalDuplications	GRCh38_notinchainSelf_sorted_merged.bed.gz	GRCh38_new_chainSelf_and_Segdups.ipynb and removed PAR-X in GRCh38-SegmentalDuplications-v3.1_updated_selfchains.ipynb	GRCh38_notinchainSelf.bed.gz	
SegmentalDuplications	GRCh38_notinchainSelf_sorted_merged_gt10kb.bed.gz	GRCh38_new_chainSelf_and_Segdups.ipynb and removed PAR-X in GRCh38-SegmentalDuplications-v3.1_updated_selfchains.ipynb	GRCh38_notinchainSelf_gt10kb.bed.gz	
SegmentalDuplications	hg38.notinsegdups_sorted_merged.bed.gz	GRCh38_new_chainSelf_and_Segdups.ipynb	GRCh38_notinsegdups.bed.gz	
SegmentalDuplications	hg38.notinsegdups_sorted_merged_gt10kb.bed.gz	GRCh38_new_chainSelf_and_Segdups.ipynb	GRCh38_notinsegdups_gt10kb.bed.gz	
SegmentalDuplications	hg38.segdups_sorted_merged.bed.gz	GRCh38_new_chainSelf_and_Segdups.ipynb	GRCh38_segdups.bed.gz	
SegmentalDuplications	hg38.segdups_sorted_merged_gt10kb.bed.gz	GRCh38_new_chainSelf_and_Segdups.ipynb	GRCh38_segdups_gt10kb.bed.gz	
LowComplexity	GRCh38_AllHomopolymers_gt6bp_imperfectgt10bp_slop5.bed.gz	GRCh38_LowComplexity.ipynb	GRCh38_AllHomopolymers_gt6bp_imperfectgt10bp_slop5.bed.gz	
LowComplexity	GRCh38_AllTandemRepeats_201to10000bp_slop5.bed.gz	GRCh38_LowComplexity.ipynb	GRCh38_AllTandemRepeats_201to10000bp_slop5.bed.gz	
LowComplexity	GRCh38_AllTandemRepeats_51to200bp_slop5.bed.gz	GRCh38_LowComplexity.ipynb	GRCh38_AllTandemRepeats_51to200bp_slop5.bed.gz	
LowComplexity	GRCh38_AllTandemRepeats_gt10000bp_slop5.bed.gz	GRCh38_LowComplexity.ipynb	GRCh38_AllTandemRepeats_gt10000bp_slop5.bed.gz	
LowComplexity	GRCh38_AllTandemRepeats_gt100bp_slop5.bed.gz	GRCh38_LowComplexity.ipynb	GRCh38_AllTandemRepeats_gt100bp_slop5.bed.gz	
LowComplexity	GRCh38_AllTandemRepeats_lt51bp_slop5.bed.gz	GRCh38_LowComplexity.ipynb	GRCh38_AllTandemRepeats_lt51bp_slop5.bed.gz	
